Batsman,Runs,Balls,4s,6s,Strike_Rates,Country
Temba Bavuma(c),10,15,0,1,66.66,South Africa
Rilee Rossouw,0,2,0,0,0,South Africa
Aiden Markram,52,41,6,1,126.82,South Africa
David Miller,59,46,4,3,128.26,South Africa
Tristan Stubbs,6,6,1,0,100,South Africa
Wayne Parnell,2,5,0,0,40,South Africa
David Warner,3,7,0,0,42.85,Australia
Aaron Finch(c),63,44,5,3,143.18,Australia
Mitchell Marsh,28,22,2,2,127.27,Australia
Glenn Maxwell,13,9,0,1,144.44,Australia
Marcus Stoinis,35,25,3,1,140,Australia
Tim David,15,10,2,0,150,Australia
Matthew Wade,7,3,1,0,233.33,Australia
Paul Stirling,11,7,1,1,157.14,Ireland
Andy Balbirnie(c),6,7,0,1,85.71,Ireland
Lorcan Tucker,71,48,9,1,147.91,Ireland
Harry Tector,6,4,1,0,150,Ireland
Curtis Campher,0,1,0,0,0,Ireland
George Dockrell,0,4,0,0,0,Ireland
Gareth Delany,14,10,2,0,140,Ireland
Mark Adair,11,11,1,0,100,Ireland
Fionn Hand,6,6,1,0,100,Ireland
Barry McCarthy,3,7,0,0,42.85,Ireland
Josh Little,1,5,0,0,20,Ireland
Rahmanullah Gurbaz,28,24,2,2,116.66,Afghanistan
Usman Ghani,27,27,2,1,100,Afghanistan
Ibrahim Zadran,22,18,1,1,122.22,Afghanistan
Najibullah Zadran,18,16,1,0,112.5,Afghanistan
Gulbadin Naib,12,14,0,0,85.71,Afghanistan
Mohammad Nabi(c),13,8,1,0,162.5,Afghanistan
Rashid Khan,9,8,1,0,112.5,Afghanistan
Azmatullah Omarzai,3,4,0,0,75,Afghanistan
Mujeeb Ur Rahman,1,2,0,0,50,Afghanistan
Pathum Nissanka,10,10,2,0,100,Sri Lanka
Kusal Mendis,25,27,2,1,92.59,Sri Lanka
Dhananjaya de Silva,66,42,6,2,157.14,Sri Lanka
Charith Asalanka,19,18,1,0,105.55,Sri Lanka
Bhanuka Rajapaksa,18,14,3,0,128.57,Sri Lanka
Dasun Shanaka(c),0,0,0,0,-,Sri Lanka
Jos Buttler(c),73,47,7,2,155.31,England
Alex Hales,52,40,7,1,130,England
Moeen Ali,5,6,0,0,83.33,England
Liam Livingstone,20,14,1,1,142.85,England
Harry Brook,7,3,0,1,233.33,England
Ben Stokes,8,7,0,0,114.28,England
Sam Curran,6,3,0,1,200,England
Dawid Malan,3,1,0,0,300,England
Finn Allen,16,11,0,1,145.45,New Zealand
Devon Conway,3,9,0,0,33.33,New Zealand
Kane Williamson(c),40,40,3,0,100,New Zealand
Glenn Phillips,62,36,4,3,172.22,New Zealand
James Neesham,6,3,1,0,200,New Zealand
Daryl Mitchell,3,5,0,0,60,New Zealand
Mitchell Santner,16,10,0,1,160,New Zealand
